Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,87383113.71,93216432.38,96949756.33,109083059.2,108383060.9,114683045.1,123608022.7,137103729.9,137300000,154400000,181500000,204010328.9,233383640,284759098.1,340492903.7,402158285.8,435871861.9,495116619.3,552876225.3,670312672.3,860438453.3,946949724.9,989409791.7,1050464828,1144931026,1198180246,1315567053,1448665028,1540893883,1703922715,2023318164,2007109743,1950900000,2046188943,2151295089,2261969772,2411872814,2549296365,2874459181,3012031889,3119500000,3112350000,3168600000,3271200000,3509700000,3891500000,4314050000,4513250000,4541550000,4592650000,4433700000,4368900000,4224850000,,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467990,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153318,5601090584,5843329102,6557333067,7872333197,9531402830,11470703002,12247694247,14393099069,10732366286,12369708859,16691360399,16953952625,16111135789,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,135653295.2,146391639.7,148934334,165585940.6,169264991.2,172217502,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869145.1,897672085.6,1196091805,1258193519,1264758198,1585396256,1820207626,1823692110,1781261413,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30411449.52,32902654.4,35644985.22,38091777.07,41616418.51,45788670.69,51465624.41,58642385.24,66248426.99,77361532.99,96243298.14,126954476.9,165253183.6,244124115.7,306044205.9,355168715.4,372025093.4,451624959.6,590407375.2,819870595.1,1060889705,1073812404,1014945861,1172230576,1240821849,1114783538,1392602040,1965227085,2644554882,3083822367,3790636664,3942877354,4146464587,4160129177,4259258811,4730599691,4847757704,5020265168,4790481509,5484263050,5788311645,5489646903,5438856515,7511538765,8957491785,9931223489,10126990496,10939028151,11113042240,10106837293,13746712711,15365212953,14537486274,14784707345,
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.4,123134583.7,124482774.2,129379123.8,142025078.8,150574795.3,157930018.4,163820513.7,191767441.7,188039209.9,189106529.2,201450800.2,230317882.8,271183082.2,281398705.9,378660015.8,451152460.8,507298148.3,610578631.2,700764746.9,797048197.1,694803623.9,748312391.3,658679332.6,637820670.6,864849836.8,1122265015,1200991976,1264899288,1233930279,1440711459,1377374988,1411917554,1278781259,851174357.3,1115389674,1007791127,937741512.4,967338390.4,999477458.7,914500332,931833293.8,991387865,1139754772,1270080228,1350300947,1473721521,1698125680,1985370255,1981728179,1986014759,2195599491,2169706411,1538175744,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87762259546,99120804120,1.12911E+11,1.31122E+11,1.60164E+11,1.73569E+11,2.06261E+11,2.1129E+11,2.183E+11,2.42702E+11,2.73437E+11,3.05749E+11,3.13453E+11,3.40319E+11,3.53888E+11,3.6296E+11,3.75654E+11,4.29021E+11,5.06018E+11,5.63639E+11,5.92015E+11,6.08259E+11,5.90148E+11,5.74834E+11,5.75999E+11,6.02021E+11,6.2695E+11,6.51001E+11,6.31432E+11,6.74325E+11,7.39456E+11,7.32717E+11,7.52532E+11,8.87752E+11,1.01839E+12,1.16418E+12,1.3108E+12,1.45787E+12,1.54256E+12,1.37084E+12,1.61407E+12,1.77863E+12,1.82145E+12,1.82677E+12,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64565E+11,2.50655E+11,2.62985E+11,2.74766E+11,3.0996E+11,3.8056E+11,4.07476E+11,4.06275E+11,4.45862E+11,4.31623E+11,4.2713E+11,4.68271E+11,5.26448E+11,6.32905E+11,7.59226E+11,8.81333E+11,9.96747E+11,1.25513E+12,1.5108E+12,1.27015E+12,1.30358E+12,1.43487E+12,1.34063E+12,1.41754E+12,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,1.1871E+11,1.08721E+11,1.11432E+11,1.11036E+11,1.06019E+11,1.07496E+11,1.54096E+11,1.92982E+11,2.08774E+11,2.01573E+11,2.5742E+11,2.6046E+11,2.71134E+11,2.63691E+11,2.91914E+11,3.41759E+11,3.29619E+11,2.86604E+11,2.94978E+11,2.89884E+11,2.7166E+11,2.78629E+11,3.01128E+11,3.51983E+11,3.93542E+11,4.07543E+11,4.29181E+11,4.77421E+11,5.51552E+11,5.39508E+11,5.81209E+11,6.96279E+11,6.66101E+11,6.85434E+11,
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4211762522,4705377500,5502763243,5482749434,5794301527,6053790468,7013580346,6913560997,7074820186,8179771226,8981111664,10694569522,11532517864,16387454417,15535549706,7226476865,9857547849,13359145454,15399431310,20729772211,27572307600,32644872980,24339421605,19770402077,19232737055,16486012247,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,1.00631E+11,1.24404E+11,1.54671E+11,1.73006E+11,1.79858E+11,1.72323E+11,2.17502E+11,2.51162E+11,2.66259E+11,2.77199E+11,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59184116489,49557050183,46685178504,50097303271,59062254890,69709153115,75879434776,72057028560,69993497892,78718820478,91506211306,98562023844,1.1216E+11,1.3677E+11,1.42255E+11,1.61162E+11,1.51628E+11,1.72349E+11,1.4818E+11,1.76634E+11,1.89401E+11,1.9411E+11,2.03181E+11,2.28454E+11,2.5743E+11,3.06668E+11,2.97831E+11,2.70373E+11,3.09523E+11,3.43974E+11,3.56937E+11,3.79469E+11,4.22661E+11,4.40501E+11,5.59224E+11,7.28008E+11,8.56085E+11,9.52653E+11,1.01946E+12,1.08328E+12,1.19847E+12,1.32481E+12,1.45383E+12,1.64096E+12,1.93164E+12,2.2569E+12,2.71295E+12,3.49406E+12,4.52183E+12,4.99023E+12,5.9305E+12,7.32189E+12,8.22949E+12,9.24027E+12,
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,546203558.5,618245635.1,645284474.6,761047199,921063326.3,919771228,1024102882,1082922726,1281281278,1361360292,1455482795,1584128511,1849400398,2508421426,3070152314,3893839184,4662053820,6265068200,7900526290,9142933956,10175617589,8432589956,7567110856,6838184772,6841639250,6977650648,9158302111,10087654451,10255169812,9757410630,10795850585,10492628588,11152971284,11045760269,8313557515,11000146269,12139234220,11722213507,12782570246,12556457527,10417060605,10545285037,11486664265,13737482343,15481092597,17084927540,17800887469,20343636059,24224905504,24277494337,24884503951,25381617036,27098590232,31062026533,
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,618740961.9,657597316.8,699373631.1,723624330.9,782384404,814140009.4,853268764.4,934078958.3,1053076992,1152418382,1160002329,1233991071,1430951432,1758727647,2255496517,2752770608,3076592634,3366368801,4409920571,5811443663,6740757493,7636346056,7322913600,7381853865,7801858401,8148223552,10621157923,12302473329,12493286837,11140057046,11151578703,12434368416,11396311478,13532134753,9220471471,8733230556,9732328761,9840553566,9629649715,10486451907,9287367569,9633109257,10879778328,13621738512,15775356737,16587857509,17953066391,20431781120,23322256428,23381142604,23622482955,26587310734,26472054176,29567504655,
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,131731862.6,151675739.2,166521239.9,172233430.9,185693724.8,198318063.9,220613582.4,237397428.3,251247458,265040036.1,274960699.9,322128019.3,410669262.9,541973362.5,585364635.4,767102679,754549600.5,765224030.6,878771771.3,1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259756,3019993723,3495868725,4648628839,6087002682,7731261169,8394688589,11859015181,9593536719,12007880067,14425606793,13677929162,14085852120,
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,4040948305,4552914130,4968598031,4838841456,5992169467,5790247619,5452762963,5727208180,5918467519,6405440200,7198373469,7820367893,8671371951,10315774588,12370045405,13098633902,15341403660,19470978268,23263511958,27940389361,33400712095,36388389129,38968019453,38729822782,38253120738,34894419525,34942483688,36373312083,39212545681,39540083646,40274204595,41239551378,49279585355,55802540101,81703496604,92507277798,97160111573,1.0666E+11,98443743191,86186156584,99886577576,98203544965,97933392356,94684582573,1.17075E+11,1.4652E+11,1.62774E+11,2.0752E+11,2.44057E+11,2.33822E+11,2.87018E+11,3.35415E+11,3.70328E+11,3.78415E+11,
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,123505661.3,114271876.3,107089562.7,111519674,107489831.8,114490708.9,162487778.5,196433673.8,207476558.4,198733188.2,250030778.4,246823412.9,266191082.8,263568133.1,185761813.2,231896233.7,230495756.5,212099640.8,215394048.6,222580461.6,201899883.6,220093828.3,246737670.8,317562300.8,368143111,380372884.8,406111892.7,462453622,517477659.5,514788085.2,516962949.5,566024675.9,550476499.2,598925863,
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,142246875.5,139468114.6,140630758.6,138476239.4,132019065,137728155.2,190651208,235253171.8,264308140.3,267448513.1,306891107.3,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979075.4,490608657.9,521910560.5,592416703.1,539227052.8,563024256.7,620974807.1,813963933.8,924318505.9,971976952.2,1107890815,1513934037,1789332788,1711816593,1664310633,1864823991,1757304419,1879402554,
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,507516617.3,490324267.1,479181227.2,511902566.7,542578822.5,592981156.2,647305631.4,699456618.3,773841499.8,853630203.2,984830159.7,1077152887,1238251658,1528916175,1666544795,1960863536,2412555508,3072427125,3523208934,4035519472,4831447173,2623807083,2606621245,3976453955,4593908762,4796628462,5477895476,5841132961,6063759371,6866402028,7403457319,7162546761,8573611050,9638291587,10557530654,11722357067,11843228540,12828975924,14101753567,15796567138,15946443103,16403602943,16844378578,17517536016,18596365927,19964893807,22526464409,26321999607,29831167681,29382692643,36298327670,41237296807,45374788701,49621089476,
